"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"42628-8411","D","Thomas","Thomas Hickey","Hickey","5.570000076293946","40","3500","NYI@NYR","NYI","NYR","O","Lower body","","",""
"42628-104674","D","Jesper","Jesper Sellgren","Sellgren","0","0","3500","CAR@WSH","CAR","WSH","","","","",""
"42628-82154","D","Sebastian","Sebastian Aho","Aho","0","0","3500","NYI@NYR","NYI","NYR","","","","",""
"42628-104175","D","Otto","Otto Leskinen","Leskinen","0.9600000381469727","5","3500","CGY@MON","MON","CGY","","","","",""
"42628-8956","D","Michael","Michael Stone","Stone","6.909090909090909","22","3500","CGY@MON","CGY","MON","","","","",""
"42628-70911","D","Jake","Jake Bean","Bean","0.800000011920929","2","3500","CAR@WSH","CAR","WSH","","","","",""
"42628-82177","D","Connor","Connor Clifton","Clifton","3.573333231608073","30","3500","BOS@PHI","BOS","PHI","IR","Upper body","","",""
"42628-60674","D","Gustav","Gustav Forsling","Forsling","5.488372093023256","43","3500","CAR@WSH","CAR","WSH","","","","",""
"42628-59144","D","Roland","Roland McKeown","McKeown","0","0","3500","CAR@WSH","CAR","WSH","","","","",""
"42628-117000","D","Rob","Rob Michel","Michel","0","0","3500","BOS@PHI","PHI","BOS","","","","",""
"42628-39710","D","Nick","Nick Jensen","Jensen","3.4543476934018345","46","3500","CAR@WSH","WSH","CAR","","","","",""
"42628-117038","D","Matthew","Matthew Robertson","Robertson","0","0","3500","NYI@NYR","NYR","NYI","","","","",""
"42628-117054","D","Cooper","Cooper Zech","Zech","0","0","3500","BOS@PHI","BOS","PHI","","","","",""
"42628-117057","D","Rob","Rob Hamilton","Hamilton","0","0","3500","CGY@MON","CGY","MON","","","","",""
"42628-82755","D","Ryan","Ryan Lindgren","Lindgren","5.0117645263671875","34","3500","NYI@NYR","NYR","NYI","","","","",""
"42628-97091","D","Martin","Martin Fehervary","Fehervary","2.133333365122477","3","3500","CAR@WSH","WSH","CAR","","","","",""
"42628-117064","D","Derek","Derek Sheppard","Sheppard","0","0","3500","CAR@WSH","CAR","WSH","","","","",""
"42628-8528","D","Marc","Marc Staal","Staal","6.1037038167317705","27","3500","NYI@NYR","NYR","NYI","DTD","Upper body","","",""
"42628-8531","D","Michael","Michael Del Zotto","Del Zotto","6.016666666666667","30","3500","ANH@STL","ANH","STL","","","","",""
"42628-59220","D","Haydn","Haydn Fleury","Fleury","5.549999872843425","24","3500","CAR@WSH","CAR","WSH","","","","",""
"42628-39261","D","Scott","Scott Mayfield","Mayfield","8.342856997535343","42","3500","NYI@NYR","NYI","NYR","","","","",""
"42628-42846","D","Tyler","Tyler Lewington","Lewington","2.3999999364217124","6","3500","CAR@WSH","WSH","CAR","","","","",""
"42628-54110","D","Gustav","Gustav Olofsson","Olofsson","4.266666730244954","3","3500","CGY@MON","MON","CGY","","","","",""
"42628-74079","D","Josh","Josh Mahura","Mahura","6.472726995294744","11","3500","ANH@STL","ANH","STL","","","","",""
"42628-97120","D","Cale","Cale Fleury","Fleury","3.9179487961989183","39","3500","CGY@MON","MON","CGY","","","","",""
"42628-66407","D","Philippe","Philippe Myers","Myers","7.674073961046007","27","3500","BOS@PHI","PHI","BOS","","","","",""
"42628-54126","D","Trevor","Trevor van Riemsdyk","van Riemsdyk","4.123076805701623","26","3500","CAR@WSH","CAR","WSH","","","","",""
"42628-11119","D","Nate","Nate Prosser","Prosser","2.453333282470703","15","3500","BOS@PHI","PHI","BOS","","","","",""
"42628-42863","D","Derrick","Derrick Pouliot","Pouliot","1.600000023841858","2","3500","ANH@STL","STL","ANH","","","","",""
"42628-22905","D","Fredrik","Fredrik Claesson","Claesson","4.897297214817357","37","3500","CAR@WSH","CAR","WSH","","","","",""
"42628-59269","D","Robert","Robert Hagg","Hagg","5.6923076923076925","26","3500","BOS@PHI","PHI","BOS","","","","",""
"42628-70565","D","Jacob","Jacob Larsson","Larsson","4.274285888671875","35","3500","ANH@STL","ANH","STL","","","","",""
"42628-74148","D","Libor","Libor Hajek","Hajek","5.257142748151507","28","3500","NYI@NYR","NYR","NYI","","","","",""
"42628-97214","D","Noah","Noah Dobson","Dobson","3.700000047683716","16","3500","NYI@NYR","NYI","NYR","","","","",""
"42628-8641","W","Alexander","Alexander Steen","Steen","7.146666463216146","30","3500","ANH@STL","STL","ANH","","","","",""
"42628-117184","D","Zack","Zack Hayes","Hayes","0","0","3500","ANH@STL","ANH","STL","","","","",""
"42628-117187","D","Steven","Steven Ruggiero","Ruggiero","0","0","3500","ANH@STL","ANH","STL","","","","",""
